text,sentiment,sentiment_label
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,0.0,Neutral
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,0.0,Neutral
@VirginAmerica I'm #elevategold for a good reason: you rock!!,0.5399,Positive
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,0.4084,Positive
@VirginAmerica wow this just blew my mind,0.5859,Positive
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,0.4199,Positive
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,0.4404,Positive
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",-0.3412,Negative
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,0.1714,Positive
@VirginAmerica wish you flew out of Atlanta... Soon?,0.4019,Positive
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,0.0,Neutral
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,0.0,Neutral
@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,-0.2939,Negative
@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,0.0,Neutral
@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,0.8994,Positive
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,0.0,Neutral
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,0.0,Neutral
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,-0.1154,Negative
@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,0.0,Neutral
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",0.9408,Positive
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",-0.1511,Negative
@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,0.4389,Positive
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,-0.2411,Negative
@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,-0.0258,Negative
"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",0.0,Neutral
@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,0.9382,Positive
@VirginAmerica everything was fine until you lost my bag,-0.128,Negative
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,0.4515,Positive
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,0.0772,Positive
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",0.0,Neutral
@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,-0.3182,Negative
"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",0.9116,Positive
@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,0.6249,Positive
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",0.6696,Positive
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,0.4404,Positive
@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,0.4329,Positive
@VirginAmerica what happened to Doom?!,-0.4574,Negative
@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,0.6124,Positive
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,0.4019,Positive
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,0.2462,Positive
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,-0.5037,Negative
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,-0.2023,Negative
@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,0.0,Neutral
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,-0.4019,Negative
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,0.296,Positive
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,0.0,Neutral
@VirginAmerica Why is the site down?  When will it be back up?,0.0,Neutral
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",0.3595,Positive
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",0.0,Neutral
@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,0.0258,Positive
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",-0.5897,Negative
@VirginAmerica why is flight 345 redirected?,0.0,Neutral
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",-0.5096,Negative
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,0.0,Neutral
@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,-0.4215,Negative
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,0.0772,Positive
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,-0.6124,Negative
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,0.0,Neutral
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,-0.6249,Negative
@VirginAmerica check out new music http://t.co/maRcnOCWzn,0.0,Neutral
@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,-0.2263,Negative
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,-0.6908,Negative
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",0.9595,Positive
@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,0.4939,Positive
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,-0.25,Negative
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,0.3612,Positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",0.3182,Positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",0.3182,Positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",0.3182,Positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",0.3182,Positive
@VirginAmerica Have a great week 🌞✈,0.6249,Positive
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,-0.628,Negative
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",-0.4767,Negative
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",0.8176,Positive
@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,0.8654,Positive
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,0.8176,Positive
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",0.7351,Positive
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,0.0,Neutral
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",-0.6597,Negative
@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,-0.296,Negative
@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,0.8016,Positive
@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,0.8832,Positive
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",0.4404,Positive
@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,0.508,Positive
@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,0.908,Positive
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,0.0,Neutral
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,-0.25,Negative
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,-0.5106,Negative
@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,-0.5696,Negative
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0.0772,Positive
@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,-0.6588,Negative
@VirginAmerica Another delayed flight? #likingyoulessandless,-0.2263,Negative
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,0.0772,Positive
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,0.0,Neutral
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",0.0,Neutral
@VirginAmerica always!!! Xoxo,0.7074,Positive
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,-0.5905,Negative
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,0.1027,Positive
@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,0.7482,Positive
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,0.765,Positive
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,0.3182,Positive
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,0.931,Positive
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",-0.6124,Negative
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,-0.0176,Negative
Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,0.8416,Positive
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,0.0,Neutral
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,-0.4404,Negative
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,-0.4939,Negative
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,0.264,Positive
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),0.802,Positive
@VirginAmerica is your website ever coming back online?,0.0,Neutral
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",0.7096,Positive
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,0.0,Neutral
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,0.0,Neutral
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,-0.6908,Negative
@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,-0.3164,Negative
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",0.0,Neutral
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",-0.4588,Negative
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",-0.4588,Negative
@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,-0.4926,Negative
@VirginAmerica is the website down?,0.0,Neutral
@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,-0.2263,Negative
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,-0.4767,Negative
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,0.0,Neutral
@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,-0.5423,Negative
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,0.0,Neutral
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,0.0,Neutral
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0.0,Neutral
@VirginAmerica Lister to my show my on Monday 1230 130,0.0,Neutral
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,0.0,Neutral
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",0.4019,Positive
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,-0.4767,Negative
@VirginAmerica I'd love to know what your policy is for damaged luggage.,0.3182,Positive
@VirginAmerica Thank you for the follow,0.3612,Positive
@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,-0.5696,Negative
@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,-0.5255,Negative
@VirginAmerica @TTINAC11 I DM you,0.0,Neutral
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,-0.775,Negative
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,-0.5848,Negative
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,-0.4939,Negative
😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,0.4588,Positive
@VirginAmerica Only way to fly! #Elevate #Gold,0.0,Neutral
@VirginAmerica If only you guys had flights from CMH.,0.0,Neutral
"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",0.4756,Positive
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,-0.802,Negative
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,0.128,Positive
@VirginAmerica you will match my #AmericanAirlines status? Cool!,0.3802,Positive
“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,0.0,Neutral
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,-0.4019,Negative
@VirginAmerica you suck!,-0.4926,Negative
@VirginAmerica thanks!,0.4926,Positive
@VirginAmerica Just DM'd. Same issue persisting.,0.0,Neutral
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,-0.1179,Negative
@VirginAmerica trying to book a flight &amp; your site is down 😁,0.4588,Positive
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,-0.25,Negative
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,-0.7942,Negative
@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,0.6696,Positive
@VirginAmerica Your website is down and I'm trying to check in!,0.0,Neutral
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",0.5707,Positive
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,-0.2462,Negative
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,0.3802,Positive
@VirginAmerica Keep up the great work :),0.7964,Positive
@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,0.7906,Positive
@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,0.8932,Positive
@VirginAmerica can you please get me to the new york area before monday afternoon,0.3182,Positive
"@VirginAmerica Thanks so much for the awesome support, you guys rock!",0.8748,Positive
@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,0.0,Neutral
@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,0.5994,Positive
@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,-0.75,Negative
@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,-0.5093,Negative
@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,-0.6705,Negative
@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,0.0,Neutral
"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",0.0,Neutral
"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",-0.4215,Negative
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,0.0,Neutral
"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",-0.6641,Negative
@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,0.0772,Positive
@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,-0.4215,Negative
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,-0.3612,Negative
@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,0.8622,Positive
@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,0.7845,Positive
@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,-0.7876,Negative
"@VirginAmerica it’s just a bug report, guys",0.0,Neutral
@VirginAmerica hold times at call center are a bit much,0.0,Neutral
@VirginAmerica Like http://t.co/VPqEm31XUQ,0.3612,Positive
@VirginAmerica Site down? #help,0.4019,Positive
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,0.7249,Positive
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",0.6588,Positive
@VirginAmerica thanks so much!,0.4926,Positive
"@VirginAmerica Trying to reset my password, email never arrives. Help?",-0.3089,Negative
"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",-0.4199,Negative
@VirginAmerica Very nicely done. 👏,0.4927,Positive
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),0.2942,Positive
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,-0.3182,Negative
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",-0.25,Negative
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,0.9635,Positive
@VirginAmerica sounds like fun !,0.7263,Positive
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,0.0,Neutral
@virginamerica spruce moose!,0.0,Neutral
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",0.3182,Positive
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",0.0,Neutral
"@VirginAmerica classiq, luv Virgin America. Greetingz",0.0,Neutral
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",-0.5499,Negative
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,0.8588,Positive
@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,0.7345,Positive
@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,0.6696,Positive
"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",-0.4767,Negative
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,0.0,Neutral
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,-0.6437,Negative
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",0.872,Positive
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",0.8993,Positive
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,0.7494,Positive
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",0.296,Positive
@VirginAmerica any plans to start flying direct from DAL to LAS?,0.0,Neutral
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,0.0,Neutral
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",0.86,Positive
@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,-0.2638,Negative
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,0.4588,Positive
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,-0.296,Negative
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,-0.7705,Negative
@VirginAmerica there is something wrong with you website in Safari iPhone,-0.4767,Negative
@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,0.8074,Positive
@VirginAmerica Already checked in so the page expired :X,0.0,Neutral
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,-0.1316,Negative
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,0.296,Positive
